farm_name,year,peak_ndvi,peak_day,season_duration,avg_ndwi_stress,seasonal_integral,ndvi_std_dev,performance_cluster,performance_score
wahaa 2,2022,0.6636645672354108,336,280,-0.5049673634220677,22.512259682394234,0.2248238579703581,0,Premium Tier
wahaa 2,2023,0.5423057019551054,336,330,-0.3839552731541525,16.270871324196364,0.18595456132112928,0,Premium Tier
wahaa 2,2024,0.5685122578815677,351,295,-0.38201931382927384,18.24534279608754,0.18629059026815656,0,Premium Tier
wahaa 2,2025,0.0700485361857777,105,95,-0.21691414230812645,2.6297077138787737,0.017678634696033823,1,Standard Tier
wahaa nakeel,2018,0.065852209829565,352,205,-0.21691414230812645,0.3204431914029189,0.017994967303735086,2,Economy Tier
wahaa nakeel,2019,0.0819260368313969,17,5,-0.1366011875528909,2.66289475082236,0.016792657065226316,1,Standard Tier
wahaa nakeel,2020,0.0805343071553013,7,5,-0.21691414230812645,2.3955949108626053,0.019307192991513747,1,Standard Tier
wahaa nakeel,2021,0.0574399826620956,56,35,-0.21691414230812645,2.16638838761023,0.00809887245267428,1,Standard Tier
wahaa nakeel,2022,0.7189804044322474,336,280,-0.534535312713569,24.067659835251348,0.24386342646966064,0,Premium Tier
wahaa nakeel,2023,0.5755029319732775,336,330,-0.4041973517746478,17.157994810624846,0.19902109564035347,0,Premium Tier
wahaa nakeel,2024,0.622185545590067,351,295,-0.3905893519466213,19.188866884157964,0.2010644580756755,0,Premium Tier
wahaa nakeel,2025,0.0700485361857777,105,95,-0.21691414230812645,2.6297077138787737,0.017678634696033823,1,Standard Tier
